Name,Ori,Now,Benchmark
'3060',2499,6899,16660
'3060ti',2999,8299,19652
'3070',3899,10678,21689
'3080',5499,17095,24184
'3090',11999,23379,25557
'6700XT',3699,6899,18552
'6800',4599,8999,20955
'6800XT',5199,10499,23697
'6900XT',7999,12999,26385
'950',260,600,5398
'960 2GB',360,800,6023
'970',600,1250,9722
'980ti',1199,2299,13877
'1060 3GB',900,1400,6696
'1060 6GB',1300,2300,9955
'1070',1500,3500,13353
'1070 Ti',1800,4000,14195
'1080',2100,4500,14944
'1080 Ti',3200,6600,17925
'2060',2000,4000,13864
'2060 Super',2500,4500,16455
'2070 Super',3300,6000,18112
'2080 Super',3900,7000,19449
'2080 Ti',8000,10000,21662
'RX580',700,3000,8843
'5500XT',1500,4000,9131
'5700',2000,8000,14618
'5700XT',2600,9000,16823

